S0,sigma,T,Ref Price,Ref StdErr,Poly Price,Poly StdErr,Poly Bias,KNN Price,KNN StdErr,KNN Bias,DT Price,DT StdErr,DT Bias,XGB Price,XGB StdErr,XGB Bias,RF Price,RF StdErr,RF Bias
80,0.20,1,20.27,0.05,20.34,0.07,0.07,20.66,0.06,0.39,20.03,0.04,-0.24,20.77,0.07,0.50,20.33,0.05,0.07
80,0.20,2,21.16,0.08,21.18,0.09,0.02,21.55,0.08,0.39,20.52,0.05,-0.65,21.63,0.09,0.46,21.22,0.07,0.05
80,0.40,1,25.06,0.12,25.19,0.14,0.13,25.56,0.14,0.50,24.68,0.11,-0.38,25.80,0.14,0.75,25.33,0.13,0.27
80,0.40,2,29.35,0.15,29.33,0.17,-0.02,29.57,0.16,0.22,28.17,0.12,-1.18,30.02,0.17,0.68,29.46,0.15,0.11
85,0.20,1,16.13,0.07,16.15,0.07,0.02,16.38,0.07,0.25,15.76,0.05,-0.37,16.52,0.08,0.39,16.18,0.07,0.06
85,0.20,2,17.61,0.08,17.40,0.09,-0.21,17.75,0.09,0.14,16.76,0.06,-0.86,17.94,0.09,0.32,17.37,0.08,-0.24
85,0.40,1,22.05,0.12,22.21,0.14,0.15,22.40,0.14,0.34,21.50,0.11,-0.56,22.71,0.14,0.65,22.37,0.14,0.31
85,0.40,2,26.57,0.15,26.83,0.17,0.26,27.07,0.16,0.49,25.79,0.13,-0.78,27.52,0.17,0.95,26.91,0.16,0.33
90,0.20,1,12.42,0.07,12.50,0.08,0.09,12.61,0.07,0.19,12.30,0.06,-0.12,12.86,0.08,0.44,12.62,0.07,0.20
90,0.20,2,14.29,0.08,14.35,0.10,0.06,14.55,0.09,0.26,13.73,0.07,-0.56,14.85,0.10,0.56,14.41,0.08,0.11
90,0.40,1,19.53,0.12,19.41,0.14,-0.12,19.60,0.13,0.07,19.02,0.12,-0.51,19.85,0.14,0.31,19.64,0.13,0.10
90,0.40,2,24.12,0.14,24.46,0.17,0.35,24.72,0.16,0.60,23.62,0.13,-0.50,25.11,0.17,1.00,24.71,0.16,0.60
95,0.20,1,9.57,0.07,9.35,0.07,-0.22,9.48,0.07,-0.09,9.19,0.06,-0.38,9.70,0.08,0.12,9.53,0.07,-0.05
95,0.20,2,11.86,0.08,11.67,0.09,-0.19,11.84,0.09,-0.02,11.20,0.07,-0.67,12.12,0.09,0.26,11.91,0.09,0.05
95,0.40,1,16.96,0.12,17.13,0.14,0.17,17.25,0.13,0.29,16.90,0.12,-0.06,17.69,0.14,0.73,17.42,0.13,0.46
95,0.40,2,21.97,0.14,22.03,0.16,0.06,22.43,0.16,0.46,21.24,0.13,-0.73,22.80,0.17,0.83,22.29,0.15,0.32
100,0.20,1,7.10,0.06,7.08,0.07,-0.02,7.12,0.07,0.02,7.01,0.06,-0.09,7.41,0.07,0.31,7.33,0.07,0.23
100,0.20,2,9.59,0.07,9.57,0.09,-0.02,9.66,0.08,0.07,9.23,0.07,-0.36,10.03,0.09,0.43,9.77,0.09,0.18
100,0.40,1,14.82,0.11,14.79,0.13,-0.03,14.89,0.13,0.07,14.55,0.11,-0.28,15.36,0.13,0.54,15.08,0.13,0.25
100,0.40,2,20.47,0.14,20.60,0.17,0.13,20.80,0.16,0.33,19.92,0.14,-0.55,21.36,0.17,0.89,20.86,0.16,0.39
105,0.20,1,5.06,0.05,5.19,0.06,0.13,5.19,0.06,0.13,5.19,0.06,0.13,5.49,0.06,0.43,5.39,0.06,0.33
105,0.20,2,7.58,0.07,7.67,0.08,0.09,7.69,0.08,0.11,7.42,0.07,-0.16,8.07,0.08,0.48,7.93,0.08,0.34
105,0.40,1,12.91,0.11,12.93,0.12,0.02,13.01,0.12,0.10,12.87,0.11,-0.04,13.44,0.13,0.53,13.26,0.13,0.35
105,0.40,2,18.35,0.14,18.39,0.16,0.04,18.42,0.15,0.07,17.93,0.14,-0.42,19.16,0.16,0.81,18.69,0.16,0.34
110,0.20,1,3.69,0.05,3.77,0.05,0.08,3.75,0.05,0.06,3.77,0.05,0.08,4.01,0.06,0.32,3.96,0.06,0.27
110,0.20,2,6.02,0.06,6.04,0.08,0.02,6.04,0.07,0.02,5.94,0.07,-0.08,6.43,0.08,0.42,6.33,0.08,0.32
110,0.40,1,10.98,0.10,11.08,0.12,0.10,11.18,0.11,0.20,11.02,0.11,0.04,11.59,0.12,0.61,11.42,0.12,0.44
110,0.40,2,16.82,0.13,16.72,0.15,-0.10,16.77,0.14,-0.05,16.26,0.13,-0.56,17.41,0.16,0.59,17.02,0.15,0.20
115,0.20,1,2.65,0.04,2.59,0.04,-0.06,2.56,0.04,-0.08,2.59,0.04,-0.06,2.80,0.05,0.15,2.72,0.05,0.08
115,0.20,2,4.81,0.06,4.91,0.07,0.09,4.86,0.06,0.05,4.90,0.06,0.08,5.31,0.07,0.50,5.23,0.07,0.42
115,0.40,1,9.78,0.10,9.86,0.11,0.08,9.90,0.11,0.12,9.81,0.10,0.03,10.26,0.12,0.49,10.16,0.11,0.39
115,0.40,2,15.44,0.13,15.35,0.15,-0.09,15.51,0.14,0.07,14.93,0.13,-0.51,16.07,0.15,0.62,15.76,0.15,0.31
120,0.20,1,1.81,0.03,1.79,0.04,-0.02,1.75,0.03,-0.05,1.84,0.04,0.04,1.97,0.04,0.16,1.93,0.04,0.12
120,0.20,2,3.74,0.05,3.64,0.06,-0.10,3.65,0.05,-0.09,3.68,0.05,-0.05,4.01,0.06,0.27,3.92,0.06,0.19
120,0.40,1,8.56,0.09,8.44,0.11,-0.12,8.44,0.10,-0.12,8.50,0.10,-0.06,8.88,0.11,0.32,8.80,0.11,0.24
120,0.40,2,13.79,0.13,13.75,0.14,-0.05,13.85,0.14,0.06,13.52,0.13,-0.28,14.43,0.15,0.63,14.14,0.14,0.35
